Libellé;Code;Périodicité (PERIODICITE);Coordinateur Pédagogique (COORDO_PEDAGO);Nb jours Total (NB_JOUR);Nb d'heures Total (NB_HEUR);Taux de rémunération (CLPRIX);Prix (FIC_PRIX);Objectif (FIC_OBJ);Public (FIC_PUBLIC);Choisir son cours ou son niveau (CHOIX_COURS_NIV_UE);Prérequis (FIC_PRE_REQ_DES);Auto-Test (AUTOTEST_UE);Programme (FIC_DES_PRG);Renseignements Complémentaires (RENS_COMP_UE);Période(s) d'inscription (FIC_MODAL_INSCRIP);Organisation des sessions (FIC_ORG_SESS);Calendrier (FIC_CAL);Outils pédagogiques (FIC_OUTI_PEDAGO);Stage(s) (FIC_STAGE);Equipements spécifiques (FIC_EQUIP_SPE);Fournitures (FIC_FOURNITUR);Tenues professionnelles (FIC_TENU_PRO);En savoir plus (SAVOIR_PLUS_UE);Lien vers un autre site (LIEN_AUTRE_SITE_UE);Nouveau (FIC_NOUVEAU);Logo certificat de compétence (LOGO01);Logo Diplôme (LOGO02);Logo Cité des métiers (LOGO10);Logo Ecole Du Breuil (LOGO09);Logo Open Badge (LOGO13)
Couleurs et compositions en peinture, s'initier;CHCP;Session intensive;GUY Claude;10;30;Taux 3;120;Découvrir l’art de la couleur, mieux le saisir à travers l’étude d’œuvres d’art.  Explorer les richesses et subtilités de la composition colorée, se les approprier et créer des projets colorés personnels. Ce cours fait partie du parcours de formation Plasticien. ;Personnes ayant un projets dans les arts plastiques, arts appliqués ou métiers d’art, ou désirant compléter leur formation dans ces secteurs : étudiants, amateurs, personnes en reconversion, peintres, graphistes, décorateurs…;;Aucun  Ce cours hybride est constitué de 7 séances en présentiel, dont 2 en musées, et 2 séances en distanciel.  Il est nécessaire, pour les deux séances en distanciel, de disposer d’un ordinateur connecté à Internet et d’être familiarisé avec l’utilisation des outils de visioconférence.  Chaque auditeur devra prendre en charge son entrée au musée pour les deux séances qui se dérouleront en musées.  ;;Théorie : exposés illustrés, études de tableaux, présentation et analyse de compositions d'œuvres de peintres coloristes de l’histoire de l’art.  Notions abordées :  l’art de la couleur, la perspective atmosphérique, le ton local, l’ombre colorée, les couleurs de la carnation, les recherches philosophiques, les apports des découvertes scientifiques et technologiques, les couleurs et  les styles, couleur et cadrage, dessin et couleur, couleur et genres en peinture, rapports colorés, superposition, juxtaposition, aplat coloré, etc.    Pratique : étude de compositions colorées, expérimentation des techniques : gouache, aquarelle, pastel, crayons de couleur, collage.  Recherche de compositions personnelles liée à une thématique commune et au programme théorique.  Ces ateliers auront lieu en présentiel.    Sorties sur sites : en musées, études d’œuvres d’artistes coloristes et à l’extérieur, en jardin. Artistes abordés : Titien, Véronèse, Caravage, Rubens, Velasquez, Tintoret, Vermeer, Chardin, Watteau, Turner, Monet, Gauguin, Matisse, Bonnard, Kandinsky, Munch, Miro, Rothko, Klein, Bacon, Richter, Basquiat, Hockney, etc.  ;Pour la partie en distanciel : utilisation de la visioconférence pour les 2 séances à distance : exposés commentés et échanges en direct. Supports de cours.  Quelques exercices courts seront proposés durant ces séances. 2 séances en distanciel en visioconférences    Pour la partie en présentiel :  5 séances d’ateliers à l‘école Ramponeau, comprenant 1 séance à l’extérieur dans le quartier et 2 séances en musées ;Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus. ;;Session du 20 mars 2025 au 12 juin 2025, formation hybride.  10 séances de 3h. En présentiel : 4 séances les jeudis 20, 27 mars, 3 et 10 avril, de 18h à 21h 2 séances en distanciel : jeudi  3 avril et 15 mai de 18h à 21h et 2 séances en extérieur de 10h à 12h samedi 24 mai et samedi 14 juin.  École Ramponeau, 51 rue Ramponeau (20e) A confirmer ou Session du 4 mars au 31 mai 2025, formation hybride.  11 séances, 3 séances de 2h et 8 séances de 3h. 6h = 3 séances de 2 heures en distanciel : mardi 4, 11 et 18 mars de 18h 30 à 20h30 + 24h = 15h = 5 séances de 3 heures en présentiel à l’école Ramponeau:  mardi 25 mars, 1er, 8 et 29 avril et mardi 6 mai, de 18h à 21h  et  9h = 3 séances de 3 heures en extérieur (2 en musée et 1 en jardin) de 10h à 13h : samedi 17, 24 et 31 mai  École Ramponeau, 51 rue Ramponeau (20e) ;;;;Pour la première séance, apporter :  . Crayon graphite HB ou 2B . Gomme . Stylo 4 couleurs . Crayons de couleur ou feutres . Carnet de papier 180g, format 21 x29,7cm ou 24 x 32 cm . Paire de ciseaux, colle Le matériel de peinture sera précisé durant la première séance. N’achetez rien, mais prévoir :  . Pinceaux  . Gouache ou aquarelle . Feuilles de papier 200 à 300 gr . Chiffons, récipients de récupération servant de palettes et gobelets ;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;Oui;;;;;
Cloud Computing : s'initier;CLO/1;Semestriel;GUERTAOUI Abdelaziz;15;45;Taux 2;180;Ce cours vise à fournir aux débutants une compréhension solide des fondements du cloud computing, de ses principaux modèles de service, des technologies sous-jacentes, ainsi que de ses applications et enjeux dans le monde actuel.   À l'issue de cette formation, les participants seront capables de comprendre les concepts clés du cloud computing, d'identifier les différentes plateformes de cloud, de comprendre les avantages et les défis associés à l'utilisation du cloud, et d'avoir une vue d'ensemble sur la sécurité dans le cloud.   Ce programme est conçu pour permettre aux auditeurs d'acquérir les connaissances théoriques et pratiques nécessaires pour naviguer dans l'écosystème du cloud computing et  pour préparer le terrain à une spécialisation future dans ce domaine. ;Toute personne impliquée dans la réflexion et l'étude du Cloud Computing et souhaitant participer à la transformation digitale de l’entreprise.;;Avoir de bonnes connaissances générales en informatique et réseaux.;;"Introduction au Cloud Computing : -	Définition et historique -	Avantages et inconvénients -	Exemples d'utilisation  Les modèles de services du Cloud : -	IaaS (Infrastructure as a Service) -	PaaS (Platform as a Service) -	SaaS (Software as a Service) -	Exemples et cas d'utilisation  Les modèles de déploiement du Cloud : -	Cloud public -	Cloud privé -	Cloud hybride -	Cloud communautaire  Technologies fondamentales du Cloud : -	Virtualisation -	Conteneurisation et Docker -	Orchestration avec Kubernetes -	Stockage dans le cloud  Architecture Cloud et conception de systèmes : -	Conception de systèmes résilients -	Auto-scaling et gestion des ressources -	Microservices et architectures sans serveur  Sécurité dans le Cloud : -	Enjeux de sécurité -	Gestion des identités et des accès -	Chiffrement des données -	Conformité et normes ";;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires.;;;L’utilisation d’un PC portable personnel est indispensable pour assister à ce cours et pouvoir travailler sur les exercices entre les cours.   Vous devez disposer de votre propre connexion internet, soit en partage de connexion (connecter ses appareils grâce aux data de son portable.) ou utiliser une clé internet 4G ou 5G.;;;;;Oui;Oui;Non;Non;Non;
Croquis de mode avec modèle vivant;CMMV;Semestriel;GUY Claude;15;45;Taux 1;240;"Apprendre à dessiner des silhouettes de mode pour transmettre une idée stylistique grâce au dessin.	 Ce module fait partie du parcours métier Styliste de mode.";Personnes ayant un projet professionnel dans le domaine de la mode, étudiants.;https://scap.paris.fr/uploads/Fiche%20m%C3%A9tier%20final.pdf;Aucun;;Étude d’après modèle vivant : la morphologie du corps de l'homme et de la femme dans différentes postures. Apprendre à relever des mesures de proportions.  Utilisation de différents outils et techniques pour représenter des formes, des volumes, des effets et matières de tissus, et mouvements de vêtements portés. Expression du trait et stylisation de la silhouette. Initiation au croquis rapide et à la figurine de mode. ;;Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 2 : du lundi 3 mars au lundi 30 juin 2025 inclus. De 18h30 à 21h30. 3 heures hebdomadaires. École Ramponeau, 51 rue Ramponeau (20e) ;;;;"A la charge des auditeurs à prévoir et à ajuster selon les consignes que donnera l’enseignant:  1 Bloc format A4 et A3 et feuilles au format raisin, Crayon HB, 2B, 4B Gomme, taille crayon, gomme, cutter, règle, paire de ciseaux, colle, adhésif, pinceau Feutres noirs 05, feutres de couleur (à alcool) Crayons de couleur, crayons de couleur aquarellable, gouache, pastel Papiers et documentation divers, magazines, revues (en fonction des besoins),	 ";;;;Non;;;;;
Coréen en pause dej, niveau A1.2 prérequis;CO/DEJ/A12;Semestriel;LIN-ZUCKER Miao;15;20;Taux 2;150;entretenir, renforcer et développer ses compétences linguistiques et culturelles ;tout public ayant le niveau prérequis spécifié; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Maîtriser les compétences du niveau A1.2 Prérequis techniques : Les candidats doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion Internet stable (box internet). Il faut, par ailleurs, être familiarisé avec l’utilisation des outils bureautiques et de visioconférence afin de produire et communiquer des documents de natures et de formats divers (textes, audio, images, vidéo, etc.). ;;Le programme, qui n’exclura aucune des 5 compétences du CECRL, prendra en compte les besoins du groupe d’auditeur.rice.s retenus, sur un format offrant la possibilité, en fonction des contraintes des participant.e.s, d’entrer en formation jusqu’à 12h45 et de la quitter à partir de 13h45. Le contenu des 1er et dernier quarts d’heure ne devra pas pénaliser, en termes de progression, les auditeur.rice.s qui ne pourront participer à la totalité du cours : échauffement, reprise de la séquence précédente, récapitulatif de la séance du jour, traitement des questions individuelles pourront constituer ce contenu. Les activités entre 12h45 et 13h45 feront une part importante à l’oral. ;Cette formation à volume horaire réduit peut être choisie : - pour réactiver des compétences linguistiques précédemment acquises et partiellement perdues (remise à niveau) - pour entretenir son niveau de langue, lorsqu’on ne peut pas s’engager sur un projet de formation plus ambitieux - pour renforcer les bases, alors même qu’on suit sur un autre créneau horaire une formation d’un niveau supérieur ;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.   ;;de 12h30 à 14h00   première séance de 12h à 14h;La formation aura lieu en visio-conférence et utilisera la plateforme moodle du SCAP.;;"Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail. Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc) Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;;Non;Non;Non;Non;
Coréen annuel 60h, A1.1 visé;CO/E1;Cours annuel;LIN-ZUCKER Miao;30;60;Taux 1;220;Apprendre la langue coréenne pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation coréennes.;Tout public.; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Aucun.  Le cours du jeudi soir se déroulera en mode hybride, alternant présentiel et distanciel une semaine sur deux. Pour participer à cette session, il est nécessaire de : - Disposer d’un ordinateur connecté à Internet.  - Être familiarisé avec l’utilisation des outils de visioconférence.;;Niveau d’enseignement proposé : A1.1 du CECRL. Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site https://api-site.paris.fr/images/70011 Apprentissage de la phonétique et des syllabaires coréens hangeul.  Entraînement progressif aux 5 compétences définies par le CECRL (Cadre Européen Commun de Référence pour les Langues) : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite.  L’ouverture du cours programmé est conditionnée par un nombre minimum d’auditeurs d’un niveau homogène. ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 2 heures hebdomadaires.  Le cours du jeudi soir se déroulera en mode hybride, alternant présentiel et distanciel une semaine sur deux. Pour participer à cette session, il est nécessaire de : - Disposer d’un ordinateur connecté à Internet.  - Être familiarisé avec l’utilisation des outils de visioconférence.;;;Pour les sessions en hybride (présentiel + distanciel) , les candidats doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet).;;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;Non;Oui;Non;Non;Non;
Coréen annuel 60h, A1.2 visé;CO/E2;Cours annuel;LIN-ZUCKER Miao;30;60;Taux 1;220;Apprendre la langue coréenne pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation coréennes.;Tout public.; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Disposer des compétences du niveau A1.1 du CECRL en coréen.;;Niveau d’enseignement proposé : A1.2 du CECRL.   Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site https://api-site.paris.fr/images/70011 Entraînement progressif aux 5 compétences définies par le CECRL (Cadre Européen Commun de Référence pour les Langues) : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite.     L’ouverture du cours programmé est conditionnée par un nombre minimum d’auditeurs d’un niveau homogène.  ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 2 heures hebdomadaires. ;;;;;;;;;Oui;Non;Non;Non;
Coréen annuel 60h, A2.1 visé;CO/E3;Cours annuel;LIN-ZUCKER Miao;30;60;Taux 1;220;Apprendre la langue coréenne ou se perfectionner pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation coréennes.;Tout public.; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Disposer des compétences du niveau A1 du CECRL en coréen.  Le niveau « intermédiaire » nécessite l’acquisition préalable des compétences requises au niveau inférieur. Inscription sur tests sauf pour les auditeurs ayant obtenu, l’année précédente, un certificat de compétences du niveau inférieur à celui du cours visé, dans une formation d’un volume horaire et d’un rythme identiques. ;;Niveau d’enseignement proposé : A2.1 du CECRL.    Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site https://api-site.paris.fr/images/70011 Entraînement aux 5 compétences définies par le CECRL (Cadre Européen Commun de Référence pour les Langues) : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite.     L’ouverture du cours programmé est conditionnée par un nombre minimum d’auditeurs d’un niveau homogène.   ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus.;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 2 heures hebdomadaires.;;;;;;;;;Oui;;;;
Coréen annuel 60h, A2.2 visé;CO/E4;Cours annuel;LIN-ZUCKER Miao;30;60;Taux 1;220;Apprendre la langue coréenne ou se perfectionner pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation coréennes.;Tout public.; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Disposer des compétences du niveau A2.1 du CECRL en coréen. Le niveau 4 (A2.2 visé) nécessite l’acquisition préalable des compétences requises au niveau inférieur. Inscription sur tests sauf pour les auditeurs ayant obtenu, l’année précédente, un certificat de compétences du niveau inférieur à celui du cours visé.   ;;Niveau d’enseignement proposé : A2.2 du CECRL.  Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site https://api-site.paris.fr/images/70011  Entraînement aux 5 compétences définies par le CECRL (Cadre Européen Commun de Référence pour les Langues) : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite.   L’ouverture du cours programmé est conditionnée par un nombre minimum d’auditeurs d’un niveau homogène. ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 2 heures hebdomadaires.;;;;;;;;Non;Oui;;;;
Coréen annuel 60h, B1.1 visé;CO/E5;Cours annuel;LIN-ZUCKER Miao;30;60;Taux 1;220;Apprendre la langue coréenne ou se perfectionner pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation coréennes.;Tout public.; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Disposer des compétences du niveau A2.2 du CECRL en coréen.  Le « niveau B1.1 visé » nécessite l’acquisition préalable des compétences requises au niveau inférieur.  Inscription sur tests sauf pour les auditeurs ayant obtenu, l’année précédente, un certificat de compétences du niveau inférieur à celui du cours visé.  ;;Niveau d’enseignement proposé : B1.1 du CECRL.  Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site https://api-site.paris.fr/images/70011   Entraînement aux 5 compétences définies par le CECRL (Cadre Européen Commun de Référence pour les Langues) : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite.   L’ouverture du cours programmé est conditionnée par un nombre minimum d’auditeurs d’un niveau homogène.  ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 2 heures hebdomadaires.;;;;;;;;;Oui;;;;
Coréen annuel 60h, B1.2 visé;CO/E6;Cours annuel;LIN-ZUCKER Miao;30;60;Taux 1;220;Apprendre la langue coréenne ou se perfectionner pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation coréennes.;Tout public.; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Disposer des compétences du niveau A2 du CECRL en coréen.  Le « niveau B1.2 visé » nécessite l’acquisition préalable des compétences requises au niveau inférieur.  Inscription sur tests sauf pour les auditeurs ayant obtenu, l’année précédente, un certificat de compétences du niveau inférieur à celui du cours visé.   ;;Niveau d’enseignement proposé : B1.2 du CECRL.  Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site https://api-site.paris.fr/images/70011    Entraînement aux 5 compétences définies par le CECRL (Cadre Européen Commun de Référence pour les Langues) : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite.    L’ouverture du cours programmé est conditionnée par un nombre minimum d’auditeurs d’un niveau homogène. ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 2 heures hebdomadaires.;;;;;;;;;Oui;;;;
Coréen annuel 60h, B2 visé;CO/E7;Cours annuel;LIN-ZUCKER Miao;30;60;Taux 1;220;Apprendre la langue coréenne ou se perfectionner pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation coréennes.;Tout public.; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Disposer des compétences du niveau B1 du CECRL en coréen.  Le « niveau B2 visé » nécessite l’acquisition préalable des compétences requises au niveau inférieur.  Inscription sur tests sauf pour les auditeurs ayant obtenu, l’année précédente, un certificat de compétences du niveau inférieur à celui du cours visé.   ;;Niveau d’enseignement proposé : B2 du CECRL.   Voir tableau des compétences par niveau du Cadre Européen Commun de Compétences pour les Langues (CECRL) sur le site https://api-site.paris.fr/images/70011     Entraînement aux 5 compétences définies par le CECRL (Cadre Européen Commun de Référence pour les Langues) : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite.     L’ouverture du cours programmé est conditionnée par un nombre minimum d’auditeurs d’un niveau homogène. ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 2 heures hebdomadaires.;;;;;;;;Oui;Oui;;;;
Cap'entreprendre: intégrer un incubateur pour développer son entreprise;CO/FI/GE;Semestriel;YOMO Cyliane;15;60;Taux 2;270;"Entreprendre, c’est évoluer et faire grandir son entreprise. Se développer demande des outils performants et une stratégie adaptée. Avec l'incubateur CAP’ENTREPRENDRE, bénéficiez d’un programme intensif d'accompagnement conçu pour structurer et accélérer le développement de votre activité. Ce programme combine expertise, ateliers pratiques et mise en réseau pour vous aider à optimiser votre stratégie, renforcer votre positionnement sur le marché et atteindre vos objectifs de croissance. Que vous soyez un chef d’entreprise expérimenté ou un nouvel entrepreneur, intégrez un environnement stimulant où chaque séance est pensée pour transformer vos ambitions en résultats concrets.  A l'issue de la formation, vous serez capable de :  •	Analyser la performance de votre entreprise et identifier ses axes de développement. •	Renforcer vos compétences stratégiques en marketing, gestion financière et leadership. •	Élaborer un plan d’action concret pour accélérer la croissance de votre entreprise. •	Maîtriser les outils essentiels à la gestion et à la communication d’entreprise. •	S’intégrer à un réseau entrepreneurial dynamique et accéder à des ressources clés. ";Profil des participants : Entrepreneurs et dirigeants de TPE/PME, déjà immatriculés, en quête d’un accompagnement structurant pour passer à l’étape suivante du développement de leur entreprise.  Sur sélection.  ;;•  Être immatriculé et avoir une entreprise en activité. •  Avoir des objectifs clairs de développement et de structuration de son activité.  Venir équipé de son propre ordinateur et d'un partage de connexion personnel.;;"Pourquoi intégrer l’incubateur CAP’ENTREPRENDRE ? Rejoindre CAP’ENTREPRENDRE, c’est accéder à un accompagnement structuré et sur-mesure pour donner un nouvel élan à votre entreprise. Vous y trouverez : •	Un cadre stimulant pour réfléchir, échanger, et avancer sur vos projets stratégiques. •	Des experts et des outils pour structurer chaque étape de votre développement. •	Une communauté dynamique de dirigeants et d’entrepreneurs partageant leurs expériences.  Contenu du programme d'incubation :  Bloc 1 : Structurer et renforcer son entreprise  1.	Diagnostic de l’entreprise : analyser les forces, faiblesses, opportunités et menaces. 2.	Affiner son positionnement : revisiter son offre, sa proposition de valeur et ses cibles. 3.	Construire une roadmap stratégique : prioriser les actions à mener à court et moyen terme. 4.	Renforcer son leadership : adopter les bonnes pratiques pour motiver et mobiliser soi et/ou ses équipes. Bloc 2 : Booster sa stratégie commerciale et marketing  5.	Développer sa stratégie commerciale : identifier et cibler des marchés porteurs. 6.	Stratégies digitales avancées : marketing de contenu, réseaux sociaux et SEO. 7.	Optimiser l’expérience client : fidélisation, gestion des retours et satisfaction client. 8.	Pitch et argumentaire de vente : présenter son projet à des partenaires ou investisseurs. Bloc 3 : Piloter sa gestion financière  9.	Analyser ses indicateurs clés : comprendre et utiliser ses données financières pour piloter. Réexploiter son Business plan ou le redéfinir.  10.	Gérer sa trésorerie et ses marges : outils pour anticiper les flux financiers. 11.	Accéder au financement : stratégies pour convaincre investisseurs et partenaires bancaires. Bloc 4 : Développer son réseau et préparer la croissance  12.	Explorer l’écosystème entrepreneurial : identifier les acteurs clés et les opportunités. 13.	Construire des partenariats stratégiques : mutualiser les forces pour accélérer. 14.	Préparer l’entrée sur de nouveaux marchés : étude de marché et adaptation. 15.	Plan d’action final : synthèse des acquis, présentation et retours personnalisés.  Points forts de la formation: •	Format adapté aux entrepreneurs?: des sessions condensées et efficaces, le samedi matin. •	Accès à un accompagnement de type incubateur avec des experts. •	Un équilibre entre apports théoriques, retours d’expérience et ateliers pratiques. •	Réseau et opportunités?: intégration à une communauté entrepreneuriale dynamique. •	Suivi personnalisé pour garantir des résultats concrets et mesurables.   À l’issue de cette phase d'incubation, vous aurez acquis les compétences et les outils nécessaires pour structurer, renforcer et accélérer le développement de votre entreprise. Intégrer CAP’ENTREPRENDRE, c’est franchir une étape décisive dans votre parcours entrepreneurial avec l’appui d’un accompagnement expert et d’une communauté engagée. ";;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.   ;;Semestre 1 : du 12/10/2024 au 15/02/2025 inclus. Semestre 2 : du 08/03 au 28/06/2025 inclus  4 heures hebdomadaires. Site : Truffaut Samedi de 9h30 à 13h30;;;;;;;;Non;;;;;
Webmarketing et Culture Digitale : s'initier;COM DIGIT;Semestriel;GUERTAOUI Abdelaziz;15;45;Taux 2;240;Comprendre les concepts du web-marketing.   Connaître les différents métiers du domaine et les branches d'applications : le search marketing, la stratégie de contenu, l’optimisation pour les moteurs de recherche, les médias sociaux, le marketing vidéo, etc.  S’initier aux stratégies marketing à l'air du numérique.  Le cours est proposé uniquement en distanciel.  ;Personnes qui souhaitent s'initier au web-marketing ou ayant un projet professionnel dans le domaine du marketing digital.;;Personnes ayant une utilisation quotidienne d'internet dans un contexte à visée professionnelle.;;. Le marketing en ligne : les fondamentaux du marketing en ligne et des stratégies numériques. Les nouveaux paradigmes de la communication depuis l'avènement d'internet et des réseaux sociaux. Etat des lieux du Web-marketing. Comprendre le vocabulaire.  . Les bases des statistiques : s'initier au data driven marketing avec les bases des statistiques et leurs significations ainsi que les outils.   . Marketing sur les moteurs de recherche : connaître le fonctionnement des moteurs de recherches pour mieux appréhender le SEO, et le display.   . Marketing sur les réseaux sociaux : découvrir l'univers des réseaux sociaux pour y adapter sa stratégie marketing.  . Le rôle du vidéo marketing et du content marketing : comprendre le rôle et la pertinence de la vidéo dans sa communication. Appréhender le marketing de contenu et ses bonnes pratiques.   . Mobile marketing : comprendre les codes du marketing pour les mobiles.  . Marketing en ligne : nouvelles tendances et stratégies. ;Les candidats qui choisissent la modalité distanciel (« formation ouverte à distance ») doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet). il faut, par ailleurs, qu’ils soient familiarisés avec l’utilisation des outils bureautiques et de visioconférence.  ;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus.    ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus.  3 heures hebdomadaires.  Le cours est proposé uniquement en distanciel.;;;;;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;Non;Oui;Non;;;Non
